+„„„„„ââªªª«ƒJ2	31
0	2	31
0	2	31
0	2	31
0	2	31
0	2	31
0	2	31
0	1	31
0	1	31
0	1	31
0	1	31
0	1	31
0	1	31
0	1	31
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
1	0	28
1	0	28
1	0	28
1	0	28
1	0	28
1	0	28
1	0	28
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
1	0	32
1	0	32
1	0	32
1	0	32
1	0	32
1	0	32
1	0	32
0	0	27
0	0	27
0	0	27
0	0	27
0	0	27
0	0	27
0	0	27
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	24
-1	2	24
-1	2	24
-1	2	24
-1	2	24
-1	2	24
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	1	27
0	1	27
0	1	27
0	1	27
0	1	27
0	1	27
0	1	27
0	0	29
0	0	29
0	0	29
0	0	29
0	0	29
0	0	29
0	0	29
2	-2	27
2	-2	27
2	-2	27
2	-2	27
2	-2	27
2	-2	27
2	-2	27
5	-3	34
5	-3	34
5	-3	34
5	-3	34
5	-3	34
5	-3	34
5	-3	34
3	0	32
3	0	32
3	0	32
3	0	32
3	0	32
3	0	32
3	0	32
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
4	-3	25
4	-3	25
4	-3	25
4	-3	25
4	-3	25
4	-3	25
4	-3	25
-1	2	22
-1	2	22
-1	2	22
-1	2	22
-1	2	22
-1	2	22
-1	2	22
0	1	23
0	1	23
0	1	23
0	1	23
0	1	23
0	1	23
0	1	23
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	2
5
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
1	1	28
2	0	27
2	0	27
2	0	27
2	0	27
2	0	27
2	1	28
2	1	28
2	1	28
2	1	28
2	1	28
2	1	28
2	1	28
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
3	0	31
3	0	31
3	0	31
3	0	31
3	0	31
3	0	31
3	0	31
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
1	-2	26
1	-2	26
1	-2	26
1	-2	26
1	-2	26
1	-2	26
1	-2	26
-1	1	22
-1	1	22
-1	1	22
-1	1	22
-1	1	22
-1	1	22
-1	1	22
-1	1	21
-1	1	21
-1	1	21
-1	1	21
-1	1	21
-1	1	21
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
1	0	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	24
2	-1	27
2	-1	27
2	-1	27
2	-1	27
2	-1	27
2	-1	27
2	-1	28
2	-1	28
2	-1	28
2	-1	28
2	-1	28
2	-1	28
2	-1	28
3	-2	30
3	-2	30
3	-2	30
3	-2	30
3	-2	30
3	-2	30
3	-2	30
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
2	0	26
2	0	26
2	0	26
2	0	26
2	0	26
2	0	26
2	0	26
2	0	26
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
3	0	23
3	0	23
3	0	23
3	0	23
3	0	23
3	0	23
3	0	23
3	-2	19
3	-2	19
3	-2	19
3	-2	19
3	-2	19
3	-2	19
3	-2	19
2	0	31
2	0	31
2	0	31
2	0	31
2	0	31
2	0	31
2	0	31
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
0	0	30
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	-1	26
1	-1	26
1	-1	26
1	-1	26
1	-1	26
1	-1	26
1	-1	26
0	1	28
0	1	28
0	1	28
0	1	28
0	1	28
0	1	28
0	1	28
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
-1	3	32
-1	3	32
-1	3	32
-1	3	32
-1	3	32
-1	3	32
-1	3	32
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
0	0	22
3	1	27
3	1	27
3	1	27
3	1	27
3	1	27
3	1	27
3	1	27
-2	1	27
-2	1	27
-2	1	27
-2	1	27
-2	1	27
-2	1	27
-2	1	27
4	-1	33
4	-1	33
4	-1	33
4	-1	33
4	-1	33
4	-1	33
4	-1	33
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
0	0	28
0	0	28
0	0	28
0	0	28
0	0	28
0	0	28
0	0	28
2	-1	26
2	-1	26
2	-1	26
2	-1	26
2	-1	26
2	-1	26
2	-1	26
5	-2	34
5	-2	34
5	-2	34
5	-2	34
5	-2	34
5	-2	34
5	-2	34
2	0	32
2	0	32
2	0	32
2	0	32
2	0	32
2	0	32
2	0	32
2	0	28
2	0	28
2	0	28
2	0	28
2	0	28
2	0	28
2	0	28
3	-2	26
3	-2	26
3	-2	26
3	-2	26
3	-2	26
3	-2	26
3	-2	26
-2	3	22
-2	3	22
-2	3	22
-2	3	22
-2	3	22
-2	3	22
-2	3	22
-2	0	23
-2	0	23
-2	0	23
-2	0	23
-2	0	23
-2	0	23
-2	0	23
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
0	2	30
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
1	0	25
3	-2	23
3	-2	23
3	-2	23
3	-2	23
3	-2	23
3	-2	23
3	-2	23
1	1	31
1	1	31
1	1	31
1	1	31
1	1	31
1	1	31
1	1	31
2	-1	25
2	-1	25
2	-1	25
2	-1	25
2	-1	25
2	-1	25
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	26
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
0	1	29
0	2	31
0	2	31
0	2	31
0	2	
31
0	2	31
0	2	31
0	2	31
-1	4	35
-1	4	35
-1	4	35
-1	4	35
-1	4	35
-1	4	35
-1	4	35
3	-2	29
3	-2	29
3	-2	29
3	-2	29
3	-2	29
3	-2	29
3	-2	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
2	0	29
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
0	1	30
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
-1	2	32
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	26
0	2	32
0	2	32
0	2	32
0	2	32
0	2	32
0	2	32
0	2	32
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
0	2	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
1	0	27
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	25
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
2	0	24
3	-2	21
3	-2	21
3	-2	21
3	-2	21
3	-2	21
3	-2	21
3	-2	21
-1	3	23
-1	3	23
-1	3	23
-1	3	23
-1	3	23
-1	3	23
-1	3	23
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
