™©i¢bš¢bŠ²j
10,-26,12,20
12,-32,28,27
16,-41,30,30
4,-18,4,28
5,-41,25,24
1,-20,4,20
1,-16,3,27
4,-27,16,17
-5,-6,8,14

-6,-13,8,7
-11,-7,7,7
-18,2,3,7
-21,-11,-1,17
-27,6,-11,8
-32,0,-9,3
-30,-5,-6,5
-34,10,-9,5
-36,2,-4,4
-36,13,2,7
-39,17,-4,10
-38,17,0,14
-37,24,2,13
-37,17,2,7
-34,28,9,7
-32,29,12,8
-31,25,13,13
-26,36,20,21
-25,28,24,19
-26,32,23,26
-20,32,31,25
-21,35,28,24
-18,37,31,14
-17,30,27,22
-12,32,32,26
-5,21,35,30
-5,23,35,24
9,12,48,26
18,8,54,28
25,10
,54,28
38,-12,71,9
39,-6,67,8
42,-12,73,8
48,-20,82,8
45,-13,67,8
48,-26,77,9
37,-15,67,6
32,-26,59,6
27,-15,57,6
25,-17,48,7
19,-33,53,8
13,-22,49,3
12,-36,42,9
13,-33,39,2
11,-42,49,27
11,-50,39,8
12,-37,40,13
12,-60,51,10
11,-46,35,19
14,-53,50,20
9,-49,31,31
18,-41,40,22
18,-49,41,24
13,-29,25,17
20,-43,36,19
11,-22,9,24
14,-39,32,26
6,-26,6,26
6,-22,7,36
9,-41,26,22
7,-29,12,20
5,-19,7,18
5,-21,14,17
-4,-9
,7,9
-4,-15,8,7
-14,-3,3,13
-21,-3,1,7
-23,-8,-4,9
-29,2,-11,10
-32,-6,-8,10
-30,0,-11,6
-33,5,-12,5
-31,3,-5,3
-31,13,-3,22
-34,11,-1,14
-31,20,5,16
-34,23,2,26
-31,22,0,10
-30,32,7,7
-31,22,8,14
-29,29,18,19
-28,32,17,16
-25,28,23,31
-22,41,23,19
-20,30,29,19
-20,40,29,18
-14,27,33,22
-16,30,31,20
-7,30,34,28
-5,18,39,32
7,16,46,29
10,2,56,17
17,4,56,
18
33,-11,71,21
36,-17,78,12
38,-7,70,9
48,-24,84,7
45,-7,67,3
43,-15,70,6
36,-15,71,4
32,-19,55,3
32,-26,62,5
25,-11,52,4
19,-36,52,8
15,-23,52,3
14,-30,48,2
14,-39,41,8
13,-32,50,6
13,-49,49,12
12,-41,37,10
13,-49,52,14
11,-57,34,21
13,-45,46,17
8,-59,42,17
9,-38,31,20
15,-47,42,24
7,-34,20,20
15,-35,32,14
8,-27,10,20
8,-17,10,20
16,-43,32,26
5,-17,3,25
7,-23,15,37
11,-38,21,26
5,-14,1,17
6,-30,19,16
2,-17,15
,10
-6,-12,8,4
-14,-10,10,14
-23,-7,0,18
-23,-12,-3,15
-28,3,-11,14
-33,-11,-8,7
-31,5,-14,3
-35,0,-4,1
-31,-1,2,4
-32,22,0,8
-36,12,0,24
-35,16,2,3
-36,28,-2,15
-35,19,2,10
-34,26,8,8
-30,29,12,14
-24,24,27,17
-27,31,23,17
-27,31,23,21
-25,41,22,25
-17,27,34,21
-21,43,24,16
-12,27,36,22
-16,34,29,25
-7,21,38,28
-6,14,39,21
2,23,37,30
15,0,60,34
17,4,58,22
32,0,63,16
34,-13,72,15
3
6,-5,66,5
50,-21,82,2
46,-7,71,6
43,-9,67,9
42,-22,76,10
35,-14,55,7
32,-24,59,3
27,-14,58,4
20,-30,49,6
18,-24,55,6
16,-22,50,3
14,-42,41,2
16,-28,49,9
13,-40,51,6
14,-48,38,5
15,-40,51,15
11,-63,41,8
11,-47,35,18
11,-62,46,20
8,-49,30,15
16,-38,40,21
14,-42,28,25
17,-28,30,16
19,-42,37,20
9,-22,10,22
14,-37,31,24
5,-26,5,26
6,-19,7,25
8,-43,26,17
0,-1
5,0,18
4,-17,7,27
5,-25,17,15
-4,-6,4,9
-4,-14,7,7
-14,-4,6,4
