x Normal 1 ,y Normal 1 ,z Normal 1 ,i Normal 1 , x Normal 2,y Normal 2,z Normal 2 ,i Normal 2, x Normal 3,y Normal 3,z Normal 3 ,i Normal 3
-8,13,12,44,8,-27,45,85,-9,29,10,145
10,-39,46,0,-7,7,10,125,9,-49,45,63
0,-7,30,0,9,-36,51,181,-10,20,18,0
3,-14,25,0,-2,10,24,256,10,-40,32,0
0,-10,35,0,2,-30,29,329,11,-51,59,0
-7,14,13,0,0,-5,33,355,-10,35,3,0
9,-37,41,0,-1,-10,18,373,0,-59,52,0
3,-20,40,0,6,-20,44,378,12,-14,39,0
-3,4,15,0,-8,12,10,368,0,2,13,0
5,-27,32,0,8,-40,48,367,1,-51,41,0
-4,3,31,0,-5,9,30,242,11,23,21,0
-8,15,17,0,326,-18,22,186,-9,-30,31,0
7,-34,37,0,1,-6,38,115,7,-44,47,0
-8,18,18,0,0,0,15,45,4,29,8,0
-4,3,13,0,-3,-27,46,0,-6,-10,19,0
3,-25,44,0,3,28,13,0,4,-14,41,0
-8,16,22,0,-10,-42,38,0,-5,8,14,0
4,-27,32,0,9,16,26,0,0,-37,41,0
8,-38,45,28,-8,30,3,0,7,15,21,39
-8,23,9,94,-8,-51,53,0,-10,14,10,103
9,-45,50,133,12,-3,34,0,-4,-33,48,145
-9,27,11,186,-4,-10,16,0,5,17,11,204
0,0,13,253,2,-29,45,0,-7,-35,43,282
3,-28,45,318,5,17,21,0,8,15,14,344
-2,13,10,361,-10,17,21,0,-8,-11,21,365
6,-36,48,369,-10,16,10,0,5,-13,38,376
-7,21,9,376,-4,16,10,0,-1,-2,17,377
7,-20,26,369,-4,-38,38,0,0,-19,37,369
-5,-3,32,366,0,9,32,0,6,6,16,362
3,-9,20,329,-3,-24,16,0,-5,-28,40,307
-2,-12,38,255,0,-34,52,0,7,6,28,231
2,-1,18,187,15,16,17,67,-7,-20,26,174
3,-19,37,121,-9,-36,37,117,5,0,29,94
-8,10,22,43,12,12,23,160,-2,-15,27,27
9,-27,31,0,-8,-3,22,234,2,-35,38,0
-5,1,25,0,-2,-20,38,303,10,12,20,0
-4,3,20,0,7,0,17,353,-9,-35,36,0
10,-27,38,0,-5,-28,37,368,11,10,22,0
-2,-2,27,0,10,5,21,376,-5,-2,23,0
5,-21,31,0,-6,-29,37,369,-2,-25,36,0
2,-9,28,0,10,8,19,364,9,3,21,0
-5,4,19,0,-8,-16,27,337,-3,-29,35,0
2,-16,27,0,-2,-12,32,258,5,-30,39,0
6,-11,31,0,7,-6,24,199,10,9,17,0
-3,-8,22,0,-4,-19,35,130,-4,-32,40,0
8,-30,35,0,8,0,21,54,9,-9,28,0
-4,6,22,0,4,-28,37,0,5,-11,25,0
-5,1,18,0,12,2,20,0,-1,-33,40,0
11,-27,44,0,-6,-26,34,0,8,10,18,0
-5,8,12,0,3,-5,26,0,-4,-29,41,0
2,-27,32,0,4,8,18,0,6,-24,38,0
4,-5,31,5,-7,-36,42,0,8,0,18,61
-7,11,14,74,11,-15,29,0,-6,-28,37,108
11,-41,44,121,7,-10,27,0,4,-5,24,158
-5,16,16,176,-3,-21,34,0,2,-21,32,224
9,-43,40,254,7,6,14,0,3,-10,31,301
10,-31,41,321,-1,-29,40,0,4,10,11,352
-4,7,15,362,4,-28,43,0,-5,-40,47,365
10,-40,46,369,9,10,12,0,9,10,16,376
-5,18,11,376,-7,-23,28,0,-3,-32,37,374
8,-43,45,369,1,-5,30,0,8,5,27,368
-8,18,11,364,2,18,7,0,-1,-21,24,349
9,-42,44,318,-7,-40,50,0,3,-12,39,285
-7,18,15,246,9,17,13,17,0,24,8,212
-5,11,11,174,-6,-7,19,82,-9,-46,50,149
7,-34,47,104,-6,-25,41,123,9,27,10,64
-8,13,12,21,7,5,12,181,-9,-48,45,0
8,-38,44,0,-5,-36,41,247,9,20,19,0
-7,13,12,0,6,9,21,325,-9,20,2,0
4,-15,28,0,-2,-30,31,354,-7,-50,59,0
0,-11,33,0,3,-3,30,372,10,10,32,0
-7,12,15,0,-2,-12,20,378,-7,-22,22,0
9,-33,40,0,0,-42,46,368,4,-13,40,0
1,-20,38,0,9,23,18,367,0,32,10,0
-2,3,15,0,-8,-37,33,244,-12,-51,41,0
6,-25,42,0,5,11,26,183,9,-32,47,0
-5,2,33,0,-5,328,27,105,4,23,8,0
2,-12,38,0,3,-21,37,36,-5,-30,30,0
19,0,18,0,-2,-1,16,0,6,2,32,0
7,-33,14,0,-2,-6,49,0,-6,-9,18,0
-9,17,44,0,9,-52,11,0,3,-47,47,0
-2,4,23,0,-10,30,42,0,7,29,12,0
3,-23,31,0,9,-45,23,0,-9,9,13,0
-8,16,29,45,-9,21,1,0,0,-30,47,0
6,-29,9,105,-8,28,55,0,1,14,22,69
-6,5,49,147,11,-49,32,0,-9,-26,28,118
-8,21,10,209,-5,2,19,0,8,-37,48,166
9,-44,44,293,4,-14,50,0,6,19,11,233
-9,27,15,346,10,-50,11,0,-7,-37,45,310
11,-45,38,366,-11,31,40,0,9,16,14,356
-10,22,23,376,11,-42,20,0,-10,-36,40,369
9,-38,9,376,-10,19,10,0,10,15,20,377
-7,15,45,373,-4,15,46,0,-8,-30,33,369
-6,21,11,349,6,-33,28,0,10,12,25,365
8,-38,42,278,-8,9,26,3,-8,-26,29,328
-9,21,16,207,6,-19,34,76,7,5,29,252
10,-38,39,134,-3,-3,17,123,-7,14,16,185
-8,20,20,60,-9,16,36,168,-8,-31,41,110
10,-33,19,0,12,-36,23,244,11,16,16,38
-9,11,39,0,-8,11,19,312,-9,-35,38,0
-3,-1,19,0,-1,-2,38,356,9,12,20,0
7,-25,32,0,7,-21,19,372,-7,-9,24,0
-4,3,26,0,-4,0,36,377,0,-18,35,0
8,-25,17,0,10,-28,21,369,8,12,0,0
-3,0,39,0,-6,4,37,364,-5,23,35,0
-6,3,27,0,12,-28,19,329,8,-33,21,0
