normal,2fase,desb,inc,i normal,i 2 fase,i desb ,i inc
10,0,15,0,0,0,0,0
0,-5,2,-10,0,0,0,0
3,-7,8,0,0,0,57,0
0,-16,-6,-1,0,0,118,0
-7,2,-17,-6,0,0,170,0
9,0,-34,-2,0,0,332,0
3,-7,-41,-5,0,0,342,0
-3,7,-46,-2,0,0,365,0
5,-1,-42,0,0,50,0,1
-4,11,4,-6,0,163,0,70
-8,3,-41,-1,0,252,369,115
0,9,-35,-4,0,320,366,171
0,15,-35,-4,0,384,337,248
7,-5,-42,-1,0,422,256,327
-8,8,-33,-4,0,0,174,365
-4,0,-35,-2,0,0,102,377
3,-4,-30,-3,0,540,36,379
-8,1,-37,-3,0,564,0,372
4,-6,-25,-2,0,514,0,366
8,-11,-33,-4,28,439,0,312
-8,0,-25,-4,94,372,0,225
9,-8,-21,-4,133,316,0,160
-9,6,-30,-3,186,266,0,72
0,-1,-11,0,253,117,0,0
3,9,-10,0,318,0,0,3
-2,13,-14,-5,361,0,0,0
6,6,4,0,369,0,0,0
-7,15,-4,0,376,0,0,0
7,12,11,-4,369,0,0,0
-5,4,17,3,366,0,0,0
3,8,12,-7,329,0,0,0
-2,3,24,-4,255,0,0,0
2,-3,37,3,187,0,0,0
3,7,36,-6,121,0,8,0
-8,-5,52,0,43,0,77,0
9,-6,40,2,0,0,121,0
-5,3,54,-7,0,0,187,0
-4,-6,46,3,0,0,264,0
10,-6,48,-4,0,0,329,0
-2,-1,42,-6,0,0,362,0
5,-3,35,2,0,0,0,0
2,5,0,-11,0,0,0,57
-5,2,34,1,0,68,374,111
2,8,10,-8,0,177,370,160
6,5,26,-2,0,271,365,233
-3,9,12,-8,0,336,304,306
0,0,21,-4,0,0,233,357
0,9,14,-2,0,392,161,373
8,4,17,-9,0,425,80,380
-4,-1,16,0,0,478,2,375
-5,-4,15,-9,0,537,0,369
11,0,23,0,0,561,0,340
-5,-6,16,-7,0,514,0,266
2,-7,22,-5,0,446,0,196
4,-6,13,-4,5,374,0,125
-7,-10,9,-9,74,322,0,0
11,3,13,2,121,248,0,0
-5,-4,2,-9,176,101,0,0
9,6,14,-1,254,0,0,0
10,-2,13,-1,321,0,0,0
-4,1,0,-1,362,0,0,0
10,11,13,-8,369,0,0,0
-5,-3,-1,-3,376,0,0,0
8,4,6,-3,369,0,0,0
-8,0,12,-7,364,0,0,0
9,-3,-19,1,318,0,133,0
