x 2 fases 1 ,x desnível 5 ,i 2 fases 1,i desnível 5,x 2 Fases 2,i 2 Fases 2
-5,-3,0,0,2,0
-7,-1,0,0,8,0
-16,-3,0,0,9,0
2,-3,0,0,8,0
0,0,0,48,8,0
-7,-5,0,111,5,0
7,-2,0,160,1,0
-1,-6,0,233,,
11,-2,50,310,2,0
3,-4,163,358,2,0
9,-5,252,375,-6,0
15,1,320,384,-8,0
-5,-7,384,377,-4,0
8,-1,422,374,-7,0
-4,-5,540,336,-10,0
1,-4,564,253,2,0
-6,-3,514,177,-3,0
-11,-6,439,101,0,0
0,0,372,25,3,0
-8,-6,316,0,-2,87
6,0,266,0,14,197
-1,-9,117,0,-1,286
9,-8,0,0,10,351
13,3,0,0,3,403
6,-8,0,0,5,434
15,-5,0,0,9,495
12,-2,0,0,-8,558
4,-8,0,0,0,568
8,2,0,0,-11,497
3,-8,0,0,-5,428
-3,-3,0,,-9,351
7,,0,,-13,308
-5,1,0,0,4,209
-6,-10,0,0,-6,63
3,2,0,0,10,0
-6,-2,0,0,-1,0
-6,-8,0,16,4,0
-1,0,0,89,12,0
-3,-9,0,129,0,0
5,0,0,183,9,0
2,-7,68,262,-3,
8,-5,177,332,10,
5,-1,271,373,1,0
9,-8,336,379,3,0
9,0,392,381,0,0
4,-8,425,374,-7,0
-1,0,478,372,-2,0
-4,-5,537,330,-8,0
0,-10,561,248,-11,0
-6,-2,514,176,6,0
-7,-9,446,101,0,0
-6,1,374,30,-1,0
-10,-6,322,0,9,38
3,0,248,0,1,144
-4,0,101,0,16,245
6,-7,0,0,8,324
-2,-2,0,0,8,386
1,-2,0,0,6,422
11,-3,0,0,5,457
-3,0,0,0,4,509
4,-6,0,0,-4,557
0,0,0,0,-2,531
-3,-1,0,0,-3,468
4,-2,0,0,-5,393
3,-3,0,0,-2,333
-13,-4,0,0,-7,282
2,,0,,6,170
-11,-1,0,0,1,29
-8,-3,0,0,12,0
6,-2,0,36,11,0
-12,-4,0,100,6,0
8,-3,0,151,6,0
8,-2,48,217,5,0
