x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4,SEP, x Normal 3, y Normal 3, z Normal 3, i Normal 3
-8,13,12,44,0,9,-24,30,376,0,11,-50,51,212
10,-39,46,0,0,-8,4,30,372,0,-9,29,10,145
0,-7,30,0,0,7,-18,23,355,0,9,-49,45,63
3,-14,25,0,0,-4,-2,35,291,0,-10,20,18,0
0,-10,35,0,0,4,-11,23,214,0,10,-40,32,0
-7,14,13,0,0,10,-32,39,147,0,11,-51,59,0
9,-37,41,0,0,-9,11,19,66,0,-10,35,3,
3,-20,40,0,0,12,-32,35,0,0,0,,,
-3,4,15,0,0,-7,7,24,0,0,12,-59,52,0
5,-27,32,0,0,-2,-5,23,0,0,0,-14,39,0
-4,3,31,0,0,9,-21,36,0,0,1,2,13,0
-8,15,17,0,0,-5,-2,20,0,0,11,-51,41,0
,,,,0,8,-29,32,0,0,-9,23,21,0
,,,,0,0,0,26,0,0,7,-30,31,0
7,-34,37,0,0,-6,3,21,0,0,4,-44,47,0
-8,18,18,0,0,2,-24,32,0,0,-6,29,8,0
-4,3,13,0,0,4,-4,27,0,0,4,-10,19,0
3,-25,44,0,0,-3,-14,28,0,0,-5,-14,41,0
-8,16,22,0,0,9,-32,36,0,0,0,8,14,0
4,-27,32,0,0,-4,8,21,0,0,7,-37,41,0
8,-38,45,28,0,-6,-4,22,0,0,-10,15,21,0
-8,23,9,94,0,10,-22,39,0,0,-4,14,10,39
9,-45,50,133,0,-6,5,18,0,0,5,-33,48,103
-9,27,11,186,0,3,-27,35,0,0,-7,17,11,145
0,0,13,253,0,3,0,25,0,0,8,-35,43,204
3,-28,45,318,0,-8,8,17,41,0,-8,15,14,282
-2,13,10,361,0,11,-39,42,104,0,5,-11,21,344
6,-36,48,369,0,-5,13,15,151,0,-1,-13,38,365
-7,21,9,376,0,-3,-11,26,226,0,0,-2,17,376
7,-20,26,369,0,9,-23,36,297,0,6,-19,37,377
-5,-3,32,366,0,-4,0,19,352,0,-5,6,16,369
3,-9,20,329,0,8,-33,43,365,0,7,-28,40,362
-2,-12,38,255,0,,,,,0,-7,6,28,307
2,-1,18,187,0,,,,,0,5,-20,26,231
3,-19,37,121,0,-5,13,10,377,0,-2,0,29,174
-8,10,22,43,0,9,-40,49,373,0,2,-15,27,94
9,-27,31,0,0,-8,20,8,367,0,10,-35,38,27
-5,1,25,0,0,0,-13,21,353,0,-9,12,20,0
-4,3,20,0,0,2,-17,39,286,0,11,-35,36,0
10,-27,38,0,0,-3,1,15,216,0,-5,10,22,0
-2,-2,27,0,0,6,-26,46,150,0,-2,-2,23,0
5,-21,31,0,0,-6,6,12,75,0,9,-25,36,0
2,-9,28,0,0,6,-40,41,5,0,-3,3,21,0
-5,4,19,0,0,-6,11,18,0,0,,,,
2,-16,27,0,0,-7,14,6,0,0,,,,
6,-11,31,0,0,9,-41,55,0,0,5,-29,35,0
-3,-8,22,0,0,-8,23,7,0,0,10,-30,39,0
,,,,0,2,-24,25,0,0,-4,9,17,0
,,,,0,0,-9,36,0,0,9,-32,40,0
8,-30,35,0,0,-9,24,10,0,0,5,-9,28,0
-4,6,22,0,0,7,-42,40,0,0,-1,-11,25,0
-5,1,18,0,0,5,-24,44,0,0,8,-33,40,0
11,-27,44,0,0,-7,15,13,0,0,-4,10,18,0
-5,8,12,0,0,3,-28,28,0,0,6,-29,41,0
2,-27,32,0,0,-3,0,33,0,0,8,-24,38,0
4,-5,31,5,0,-7,24,12,0,0,-6,0,18,0
-7,11,14,74,0,7,-41,44,0,0,4,-28,37,61
11,-41,44,121,0,-8,26,15,0,0,2,-5,24,108
-5,16,16,176,0,-3,10,12,0,0,3,-21,32,158
9,-43,40,254,0,4,-34,47,0,0,4,-10,31,224
10,-31,41,321,0,-7,13,23,57,0,-5,10,11,301
-4,7,15,362,0,6,-24,28,114,0,9,-40,47,352
10,-40,46,369,0,-4,-3,36,153,0,-3,10,16,365
-5,18,11,376,0,3,-8,18,219,0,8,-32,37,376
8,-43,45,369,0,0,-18,41,291,0,-1,5,27,374
-8,18,11,364,0,-10,20,11,352,0,3,-21,24,368
9,-42,44,318,0,10,-38,39,367,0,0,-12,39,349
-7,18,15,246,0,-8,15,20,377,0,-9,24,8,285
-5,11,11,174,0,9,-26,31,374,0,9,-46,50,212
7,-34,47,104,0,-,,,,0,-9,27,10,149
-8,13,12,21,0,7,4,29,369,0,9,-48,45,64
8,-38,44,0,0,7,-17,25,345,0,-9,20,19,0
-7,13,12,0,0,-4,-4,34,276,0,-7,20,2,0
4,-15,28,0,0,4,-9,23,206,0,10,-50,59,0
0,-11,33,0,0,10,-32,39,136,0,-7,10,32,0
