x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4
-8,13,12,44,0,9,-24,30,376
10,-39,46,0,0,-8,4,30,372
0,-7,30,0,0,7,-18,23,355
3,-14,25,0,0,-4,-2,35,291
0,-10,35,0,0,4,-11,23,214
-7,14,13,0,0,10,-32,39,147
9,-37,41,0,0,-9,11,19,66
3,-20,40,0,0,12,-32,35,0
-3,4,15,0,0,-7,7,24,0
5,-27,32,0,0,-2,-5,23,0
-4,3,31,0,0,9,-21,36,0
-8,15,17,0,0,-5,-2,20,0
,,,,0,8,-29,32,0
,,,,0,0,0,26,0
7,-34,37,0,0,-6,3,21,0
-8,18,18,0,0,2,-24,32,0
-4,3,13,0,0,4,-4,27,0
3,-25,44,0,0,-3,-14,28,0
-8,16,22,0,0,9,-32,36,0
4,-27,32,0,0,-4,8,21,0
8,-38,45,28,0,-6,-4,22,0
-8,23,9,94,0,10,-22,39,0
9,-45,50,133,0,-6,5,18,0
-9,27,11,186,0,3,-27,35,0
0,0,13,253,0,3,0,25,0
3,-28,45,318,0,-8,8,17,41
-2,13,10,361,0,11,-39,42,104
6,-36,48,369,0,-5,13,15,151
-7,21,9,376,0,-3,-11,26,226
7,-20,26,369,0,9,-23,36,297
-5,-3,32,366,0,-4,0,19,352
3,-9,20,329,0,8,-33,43,365
-2,-12,38,255,0,,,,
2,-1,18,187,0,,,,
3,-19,37,121,0,-5,13,10,377
-8,10,22,43,0,9,-40,49,373
9,-27,31,0,0,-8,20,8,367
-5,1,25,0,0,0,-13,21,353
-4,3,20,0,0,2,-17,39,286
10,-27,38,0,0,-3,1,15,216
-2,-2,27,0,0,6,-26,46,150
5,-21,31,0,0,-6,6,12,75
2,-9,28,0,0,6,-40,41,5
-5,4,19,0,0,-6,11,18,0
2,-16,27,0,0,-7,14,6,0
6,-11,31,0,0,9,-41,55,0
-3,-8,22,0,0,-8,23,7,0
,,,,0,2,-24,25,0
,,,,0,0,-9,36,0
8,-30,35,0,0,-9,24,10,0
-4,6,22,0,0,7,-42,40,0
-5,1,18,0,0,5,-24,44,0
11,-27,44,0,0,-7,15,13,0
-5,8,12,0,0,3,-28,28,0
2,-27,32,0,0,-3,0,33,0
4,-5,31,5,0,-7,24,12,0
-7,11,14,74,0,7,-41,44,0
11,-41,44,121,0,-8,26,15,0
-5,16,16,176,0,-3,10,12,0
9,-43,40,254,0,4,-34,47,0
10,-31,41,321,0,-7,13,23,57
-4,7,15,362,0,6,-24,28,114
10,-40,46,369,0,-4,-3,36,153
-5,18,11,376,0,3,-8,18,219
8,-43,45,369,0,0,-18,41,291
-8,18,11,364,0,-10,20,11,352
9,-42,44,318,0,10,-38,39,367
-7,18,15,246,0,-8,15,20,377
-5,11,11,174,0,9,-26,31,374
7,-34,47,104,0,-,,,
-8,13,12,21,0,7,4,29,369
8,-38,44,0,0,7,-17,25,345
-7,13,12,0,0,-4,-4,34,276
4,-15,28,0,0,4,-9,23,206
0,-11,33,0,0,10,-32,39,136
-7,12,15,0,0,-8,11,20,57
9,-33,40,0,0,11,-31,35,0
1,-20,38,0,0,-7,6,24,0
-2,3,15,0,0,-3,-4,23,0
6,-25,42,0,0,9,-22,38,0
-5,2,33,0,0,-5,4,25,0
2,-12,,,0,8,-26,33,0
19,0,,,0,0,-2,26,0
7,-33,38,0,0,-6,3,20,0
-9,17,18,0,0,3,-22,30,0
-2,4,14,0,0,4,-5,28,0
3,-23,44,0,0,-6,8,21,0
-8,16,23,0,0,10,-30,36,0
6,-29,31,0,0,-5,6,21,0
