x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
16,-17,33,17,0,-38,-28,11,0
17,-13,32,17,0,-49,19,-48,0
16,-21,32,17,0,-35,-28,4,0
16,-21,32,17,0,-40,14,-19,0
14,-19,32,17,0,-42,-4,-21,0
14,-19,32,17,0,-34,8,-6,0
14,-20,33,18,0,-40,15,-19,0
14,-20,33,17,0,-31,-15,14,0
15,-19,31,17,0,-30,50,-16,0
15,-19,31,17,0,-32,-2,26,41
14,-21,32,17,0,-31,49,2,110
14,-21,32,17,0,-35,13,27,149
12,-22,33,18,0,-28,43,24,223
15,-22,32,17,0,-37,27,33,306
13,-22,31,18,0,-27,32,37,354
13,-24,31,18,0,-28,37,35,366
14,-22,29,17,0,-13,25,57,374
12,-24,31,17,0,-17,51,40,364
13,-23,31,18,0,2,17,73,363
13,-21,29,17,0,-3,51,38,327
11,-23,31,17,0,2,15,72,255
12,-20,28,17,0,15,33,54,192
9,-22,30,17,0,14,5,73,124
8,-17,28,18,0,34,8,72,63
7,-17,27,17,,32,25,48,0
5,-18,28,17,,42,-31,105,0
4,-15,26,1,,48,16,56,0
7,,,,,40,-7,68,0
3,-17,27,17,,52,-29,89,0
1,-15,27,17,,45,-7,51,0
-1,-14,26,17,,43,-44,86,0
-3,-14,26,17,,49,-5,51,0
-4,-12,23,17,,42,-1,33,0
-6,-13,26,18,,36,-56,84,0
-6,-10,25,18,,30,7,19,0
-8,-11,24,17,,17,-37,,
-10,-9,24,18,,,36,0,
-10,-8,25,17,,32,-38,63,0
-11,-7,27,18,,13,-26,16,0
-12,-4,24,18,,14,-75,63,0
-13,-5,25,17,,16,-13,11,0
-13,-3,24,17,,12,-86,54,8
-13,-3,25,17,,13,-36,14,80
-13,-2,25,17,,13,-24,-4,133
-15,-1,24,17,,19,-103,60,204
-15,-2,25,18,,17,-66,20,290
-14,0,23,18,,15,-63,31,346
-14,-1,25,18,,13,-43,7,374
-13,1,24,18,,11,-84,41,382
-15,0,24,17,,6,-13,-7,378
-13,-2,25,17,,9,-59,22,374
-11,1,25,18,,4,-29,7,357
-10,-1,27,17,,6,-36,4,290
-8,1,25,17,,6,-43,16,219
-9,1,25,17,,1,3,-23,147
-8,-1,28,18,,14,-53,35,68
-5,-1,26,17,,5,9,-6,5
