x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-7,-60,65,0,0,0,7,22,0
-2,37,0,0,0,-10,-22,31,0
-8,25,-10,0,0,0,-7,30,0
1,-50,71,10,0,-1,24,-6,0
-8,35,-15,86,0,-6,-44,62,0
0,-60,73,125,0,-2,-14,41,0
-5,37,-13,195,0,-5,-1,13,0
-4,-57,66,274,0,-2,-23,47,0
-3,30,-6,334,0,0,19,0,1
-7,0,8,362,0,-6,-40,54,70
1,-30,51,376,0,-1,15,8,115
-7,11,0,3,0,-4,12,-2,171
75,,,,0,-4,-38,62,248
0,-36,57,374,0,-1,18,-10,327
-1,16,9,368,0,-4,-50,69,365
-7,-37,43,321,0,-2,28,-15,377
0,9,16,258,0,-3,-57,65,379
-6,-26,37,181,0,-3,36,-8,372
0,3,23,124,0,-2,-59,55,366
-2,23,-9,43,0,-4,29,7,312
-3,-46,66,0,0,-4,-44,38,225
-1,22,-12,0,0,-4,14,27,160
-4,-17,17,0,0,-3,48,-29,72
0,-8,44,0,0,,,,
-4,-10,5,0,0,0,-73,84,3
-4,-53,59,0,0,-5,51,-25,0
-1,28,0,0,0,0,-77,72,0
-1,8,-9,0,,0,-36,71,0
0,-45,66,0,,-4,27,-22,0
0,21,19,0,,3,-66,83,0
-7,-31,24,0,,-7,27,16,0
2,-11,40,0,,-4,-40,22,0
-2,44,-15,0,,3,-86,82,0
-3,-64,66,0,,-6,66,-24,0
-3,41,-3,0,,0,-81,74,0
-7,29,-16,0,,2,-47,70,0
3,-60,79,0,,-7,39,-27,0
-2,21,15,68,,3,-70,85,0
-6,-32,26,116,,-4,21,18,0
-1,-2,41,173,,-6,-24,27,0
-7,-5,4,243,,2,-74,86,0
1,-32,61,309,,-11,51,-23,57
-5,19,-14,363,,1,-68,68,111
2,-53,76,375,,-8,39,-3,160
-4,32,6,380,,-2,-50,54,233
,,,,,-8,21,11,306
,,,,,-4,-39,35,357
-6,-41,40,376,,-2,7,28,373
-2,8,27,373,,-9,33,-11,380
-7,-20,18,337,,0,-51,65,375
0,-10,46,262,,-9,32,-7,369
-8,1,4,194,,0,-53,59,340
-4,-58,69,123,,-7,33,0,266
-6,37,-3,43,,-5,-48,57,196
-5,-51,54,0,,-4,28,6,125
-5,25,11,0,,-9,11,,
-10,25,-11,0,,2,57,,
1,-49,72,0,,-9,-34,41,0
-7,33,-16,0,,-1,-42,64,0
-8,-28,27,0,,-1,-42,64,0
0,-3,39,0,,-1,10,25,0
-11,-10,9,0,,-8,-25,29,0
-4,-61,65,0,,-3,-49,60,0
-3,40,-4,0,,-3,27,-4,0
-8,-55,55,0,,-7,-49,61,0
1,-42,65,0,,1,-14,38,0
-9,31,-15,0,,-8,0,11,0
0,-57,74,0,,-7,-46,55,0
1,11,27,0,,0,22,4,0
-11,-19,24,0,,-9,-39,50,0
1,-11,43,18,,-2,-35,57,0
-5,40,-12,90,,-3,19,-3,0
-5,-60,65,135,,-8,-31,42,0
-2,33,0,197,,0,6,20,0
-8,-48,52,277,,-4,22,-6,51
0,17,10,331,,-5,-47,65,108
-5,23,-9,364,,-2,24,-8,162
-1,-51,66,378,,-4,-46,63,236
-4,29,-10,375,,-2,24,-6,309
-3,-49,64,373,,-5,-50,59,360
-2,26,-,,,-2,23,0,373
11,353,,,,-3,-45,46,376
-4,-51,64,283,,-1,-44,68,368
-1,28,-7,209,,-3,30,-18,368
-6,-45,61,141,,-1,-64,75,322
0,21,0,68,,-4,46,-24,
-4,-42,54,0,,235,,,
-1,-31,54,0,,0,-67,76,172
-3,8,-2,0,,-5,48,-16,81
-4,-37,49,0,,-1,-66,66,15
-2,14,12,0,,-7,38,-4,0
-3,-37,35,0,,-1,-56,48,0
-2,-46,65,0,,2,-63,86,0
0,24,-12,0,,-4,49,-31,0
-3,-55,63,0,,2,-80,84,0
0,-9,42,0,,-4,-8,45,0
-4,0,1,0,,-4,-4,-6,0
-2,-59,54,0,,0,-83,70,0
