x Normal 1,y Normal 1,z Normal 1,i Normal 1,, Normal 4, Normal 4, Normal 4, Normal 4
-8,13,12,44,,9,-24,30,376
10,-39,46,0,,-8,4,30,372
0,-7,30,0,,7,-18,23,355
3,-14,25,0,,-4,-2,35,291
0,-10,35,0,,4,-11,23,214
-7,14,13,0,,10,-32,39,147
9,-37,41,0,,-9,11,19,66
3,-20,40,0,,12,-32,35,0
-3,4,15,0,,-7,7,24,0
5,-27,32,0,,-2,-5,23,0
-4,3,31,0,,9,-21,36,0
-8,15,17,0,,-5,-2,20,0
,,,,,8,-29,32,0
,,,,,0,0,26,0
7,-34,37,0,,-6,3,21,0
-8,18,18,0,,2,-24,32,0
-4,3,13,0,,4,-4,27,0
3,-25,44,0,,-3,-14,28,0
-8,16,22,0,,9,-32,36,0
4,-27,32,0,,-4,8,21,0
8,-38,45,28,,-6,-4,22,0
-8,23,9,94,,10,-22,39,0
9,-45,50,133,,-6,5,18,0
-9,27,11,186,,3,-27,35,0
0,0,13,253,,3,0,25,0
3,-28,45,318,,-8,8,17,41
-2,13,10,361,,11,-39,42,104
6,-36,48,369,,-5,13,15,151
-7,21,9,376,,-3,-11,26,226
7,-20,26,369,,9,-23,36,297
-5,-3,32,366,,-4,0,19,352
3,-9,20,329,,8,-33,43,365
-2,-12,38,255,,,,,
2,-1,18,187,,,,,
3,-19,37,121,,-5,13,10,377
-8,10,22,43,,9,-40,49,373
9,-27,31,0,,-8,20,8,367
-5,1,25,0,,0,-13,21,353
-4,3,20,0,,2,-17,39,286
10,-27,38,0,,-3,1,15,216
-2,-2,27,0,,6,-26,46,150
5,-21,31,0,,-6,6,12,75
2,-9,28,0,,6,-40,41,5
-5,4,19,0,,-6,11,18,0
2,-16,27,0,,-7,14,6,0
6,-11,31,0,,9,-41,55,0
-3,-8,22,0,,-8,23,7,0
,,,,,2,-24,25,0
,,,,,0,-9,36,0
8,-30,35,0,,-9,24,10,0
-4,6,22,0,,7,-42,40,0
-5,1,18,0,,5,-24,44,0
11,-27,44,0,,-7,15,13,0
-5,8,12,0,,3,-28,28,0
2,-27,32,0,,-3,0,33,0
4,-5,31,5,,-7,24,12,0
-7,11,14,74,,7,-41,44,0
11,-41,44,121,,-8,26,15,0
-5,16,16,176,,-3,10,12,0
9,-43,40,254,,4,-34,47,0
10,-31,41,321,,-7,13,23,57
-4,7,15,362,,6,-24,28,114
10,-40,46,369,,-4,-3,36,153
-5,18,11,376,,3,-8,18,219
8,-43,45,369,,0,-18,41,291
-8,18,11,364,,-10,20,11,352
9,-42,44,318,,10,-38,39,367
-7,18,15,246,,-8,15,20,377
-5,11,11,174,,9,-26,31,374
7,-34,47,104,,-,,,
-8,13,12,21,,7,4,29,369
8,-38,44,0,,7,-17,25,345
-7,13,12,0,,-4,-4,34,276
4,-15,28,0,,4,-9,23,206
0,-11,33,0,,10,-32,39,136
-7,12,15,0,,-8,11,20,57
9,-33,40,0,,11,-31,35,0
1,-20,38,0,,-7,6,24,0
-2,3,15,0,,-3,-4,23,0
6,-25,42,0,,9,-22,38,0
-5,2,33,0,,-5,4,25,0
2,-12,,,,8,-26,33,0
19,0,,,,0,-2,26,0
7,-33,38,0,,-6,3,20,0
-9,17,18,0,,3,-22,30,0
-2,4,14,0,,4,-5,28,0
3,-23,44,0,,-6,8,21,0
-8,16,23,0,,10,-30,36,0
6,-29,31,0,,-5,6,21,0
-6,5,29,45,,-5,-5,22,0
-8,21,9,105,,10,-22,40,0
9,-44,49,147,,-4,7,22,0
-9,27,10,209,,3,-28,34,0
11,-45,44,293,,3,-1,26,0
-10,22,15,346,,-9,8,16,50
9,-38,38,366,,11,-39,43,108
-7,15,23,376,,-6,13,16,157
-6,21,9,376,,-1,-9,24,229
8,-38,45,373,,8,-24,37,300
-9,21,11,349,,-4,1,19,351
10,-38,42,278,,10,-34,42,3
-8,20,16,207,,66,,,
10,-33,39,134,,-5,14,12,377
-9,11,20,60,,9,-39,47,373
-3,-1,19,0,,-10,19,10,367
7,-25,39,0,,10,-45,46,338
-4,3,19,0,,-9,23,10,265
8,-25,32,0,,-3,3,14,195
-3,0,26,0,,5,-26,44,126
-6,3,17,0,,-7,6,13,48
9,-32,39,0,,8,-33,45,0
2,-6,27,0,,-5,7,22,0
3,-16,28,0,,5,-28,34,0
11,-29,40,0,,9,-38,51,0
-5,8,19,0,,-8,18,9,0
-2,,,,,1,-21,24,0
,-11,24,0,,0,-10,37,0
7,-18,35,0,,-1,-4,17,0
-4,-2,19,0,,7,-36,38,0
8,-30,40,0,,-6,15,25,0
-2,8,20,0,,-8,13,14,0
-6,5,14,0,,8,-36,41,0
11,-36,44,2,,-2,-2,34,0
-7,10,13,68,,-2,-6,17,0
2,-24,28,116,,1,-16,42,0
6,-10,35,168,,-8,24,16,0
-2,-12,19,249,,6,-37,37,0
10,-26,40,319,,5,-33,46,22
-4,4,16,360,,-7,21,7,91
10,-38,45,369,,9,-44,51,130
-6,17,10,377,,-10,28,8,184
9,-43,46,369,,2,-10,18,262
2,-8,32,366,,1,-18,41,327
1,-9,20,331,,0,3,15,363
3,-22,41,258,,4,-27,,
-3,7,14,193,,45,373,,
7,-39,43,118,,-5,15,11,378
-5,11,21,43,,7,-34,45,375
7,-30,33,0,,-7,5,29,368
-4,-2,27,0,,6,-18,25,332
-7,15,12,0,,-5,-2,32,259
8,-38,46,0,,4,-11,22,186
0,-9,32,0,,1,-10,34,118
1,-9,23,0,,-2,-7,23,38
8,-34,42,0,,11,-32,34,0
-6,8,18,0,,-7,6,23,0
-2,3,16,0,,-3,-3,22,0
5,-25,43,0,,10,-22,39,0
-5,2,31,0,,-5,-2,19,0
3,-14,20,0,,6,-28,33,0
-3,-9,39,0,,1,-1,24,0
-10,19,1,,,-6,4,19,0
5,0,,,,11,-28,40,0
7,-34,40,0,,-6,8,19,0
1,-19,43,0,,-3,-14,26,0
-5,9,14,0,,7,-15,32,0
6,-32,35,18,,-5,8,20,0
-8,9,25,85,,7,-32,40,0
6,-23,28,127,,10,-22,41,0
-3,0,35,171,,-5,4,15,0
-9,27,8,245,,10,-34,42,0
10,-46,46,317,,2,0,26,29
-10,24,12,360,,2,-23,28,96
10,-41,42,374,,6,-10,32,133
-8,20,20,376,,-7,16,15,199
8,-30,31,372,,10,-44,43,280
-8,6,28,365,,-4,13,16,339
6,-16,24,319,,7,-39,40,365
9,-37,45,248,,,,,
-8,20,14,177,,,,,
8,-35,39,106,,0,6,19,374
-8,12,21,30,,2,-23,33,376
11,-31,34,0,,8,-42,47,373
