x 2fases 1,y 2fases 1,z 2fases 1,i 2fases 1,,x 2fases 5,y 2fases 5,z 2fases 5,i 2fases 5
-8,17,33,0,,-2,42,23,522
-5,27,30,0,,-10,2,44,447
-7,16,38,0,,-5,30,20,379
-16,20,36,0,,-7,-17,34,316
2,11,21,0,,-2,-7,22,248
0,-5,31,0,,4,-7,10,110
-7,-8,21,0,,-3,-44,33,0
7,-16,19,0,,11,-27,18,0
-1,-32,30,50,,3,-50,32,0
11,-34,16,163,,5,-41,29,0
3,-48,33,252,,10,-17,20,0
9,-31,18,320,,-1,-30,27,0
15,-33,27,384,,6,-8,41,0
-5,-19,29,422,,-2,10,21,0
8,-8,,,,-4,-7,46,0
,32,477,,,-2,42,20,0
-4,6,34,540,,-6,35,18,0
1,21,31,564,,-10,7,50,0
-6,17,35,514,,-2,32,12,0
-11,12,44,439,,-8,-5,40,0
0,26,15,372,,-2,4,20,0
-8,-8,41,316,,1,2,13,0
6,-1,15,266,,-2,-35,32,0
-1,-31,31,117,,3,-30,23,48
9,-31,19,0,,8,-35,22,150
13,-34,17,0,,8,-48,32,252
6,-53,32,0,,10,-29,22,322
15,-31,18,0,,4,-39,30,390
12,-32,16,0,,8,-7,24,415
4,-36,41,0,,3,1,16,462
8,0,9,0,,-2,-9,54,526
3,-18,40,0,,0,30,9,562
-3,-16,60,0,,-5,1,38,554
7,36,2,0,,-3,35,25,477
-5,6,32,0,,-5,2,35,415
-6,28,34,0,,-2,13,29,354
3,41,3,0,,1,18,5,306
-6,-8,55,0,,0,-34,38,229
-6,9,35,0,,7,-17,11,85
-1,-8,16,0,,2,-51,32,0
-3,-29,33,0,,13,-43,29,0
5,-22,16,0,,5,-49,17,0
2,-41,21,68,,8,-50,28,0
8,-45,31,177,,15,-28,24,0
5,-44,20,271,,-2,-29,29,0
9,-47,24,336,,8,-14,35,0
,,,,,0,4,26,0
9,-22,27,392,,-5,-5,36,0
4,-25,30,425,,7,30,27,0
-1,10,35,478,,-1,29,25,0
-4,1,29,537,,-7,13,42,0
0,2,52,561,,0,20,22,0
-6,42,16,514,,-,,,
-7,-2,50,446,,6,0,38,0
-6,35,16,374,,2,1,16,0
-10,6,23,322,,6,-11,19,0
3,-16,31,248,,-1,-28,33,0
-4,-15,21,101,,1,-24,14,25
6,-39,21,0,,8,-51,31,129
-2,-36,28,0,,8,-36,21,242
1,-34,18,0,,11,-47,29,316
11,-50,32,0,,0,-26,22,389
-3,-16,18,0,,8,-21,26,416
4,-20,17,0,,-2,-10,30,468
0,-17,43,0,,-1,5,41,528
-3,12,26,0,,0,23,23,571
4,8,34,0,,-9,17,47,543
3,12,37,0,,-2,28,19,470
-13,27,34,0,,-13,7,43,397
2,19,32,0,,-3,21,19,337
-11,17,35,0,,-7,-21,34,282
-8,15,23,0,,0,-12,19,145
6,3,22,0,,4,-34,24,14
-12,-14,30,0,,4,-35,25,0
8,-24,18,0,,12,-34,22,0
8,-33,26,48,,3,-43,31,0
-1,-32,19,157,,9,-23,24,0
13,-50,29,253,,10,-19,23,0
2,-29,24,326,,1,-23,43,0
14,-30,30,385,,4,-2,43,0
-3,-16,29,423,,0,14,22,0
4,,,,,-7,-4,43,0
1,33,468,,,-4,41,20,0
1,8,30,529,,-8,4,46,0
-7,11,38,557,,-9,8,46,0
0,28,22,529,,-6,33,,
-5,16,33,450,,19,0,,
-6,19,29,384,,-7,-9,34,0
0,4,30,321,,-1,-5,21,0
-3,-11,26,273,,3,-5,16,0
5,-21,18,157,,0,-37,30,1
0,-40,29,16,,3,-37,27,90
13,-35,23,0,,7,-37,20,193
6,-46,22,0,,7,-51,30,280
8,-45,31,0,,12,-22,22,353
15,-24,16,0,,4,-37,35,405
1,-44,36,0,,5,3,23,427
5,-32,46,0,,2,9,16,483
6,9,11,0,,-7,5,44,557
0,-16,43,0,,-7,5,44,548
3,30,22,0,,-6,8,52,535
3,39,0,0,,-1,33,20,454
-7,-4,62,0,,-7,-1,40,387
-2,26,32,0,,3,9,20,342
-2,13,31,0,,2,6,7,294
-8,-11,51,0,,3,-32,40,207
3,7,8,0,,6,-26,26,63
-2,-10,15,0,,2,-42,23,0
2,-36,35,0,,15,-42,25,0
7,-29,15,61,,8,-47,21,0
4,-41,21,165,,10,-42,28,0
8,-53,33,258,,11,-27,27,0
9,-35,11,333,,3,-30,27,0
,,,,,10,-5,34,0
9,-38,44,386,,-2,5,29,0
0,-10,9,424,,-5,0,35,0
2,-10,56,463,,3,34,27,0
-3,19,28,525,,-5,27,26,0
-4,1,36,560,,-6,11,39,0
-4,40,30,522,,-1,23,24,
-9,2,39,454,,,0,,
-6,2,48,391,,-9,-5,36,0
-6,24,15,326,,-9,-11,28,0
0,-25,35,271,,7,-16,21,0
0,-11,20,148,,-3,-33,27,0
0,-38,22,9,,3,-28,12,84
9,-37,21,0,,5,-52,32,190
-2,-41,28,0,,8,-38,19,288
13,-42,20,0,,11,-40,29,355
11,-40,32,0,,0,-26,22,413
-5,-18,19,0,,8,-7,33,438
12,-20,41,0,,-5,-1,30,492
-9,12,29,0,,0,7,40,545
-2,13,28,0,,-6,27,23,569
-3,19,36,0,,-6,13,46,517
-14,26,34,0,,-6,31,20,441
0,20,32,0,,-12,9,40,373
-4,19,31,0,,0,8,22,327
-16,13,29,0,,-8,-19,29,257
6,-5,25,0,,0,-22,20,105
-5,-16,32,0,,5,-34,24,0
0,-18,18,0,,-4,-45,30,0
7,-39,29,58,,10,-37,22,0
-5,-37,27,162,,4,-37,27,0
16,-41,20,260,,1,-36,30,0
4,-36,34,33,,10,-13,22,0
1,,,,,-1,-17,46,0
10,-25,20,388,,0,3,43,0
0,-21,34,424,,-1,16,20,0
4,0,34,468,,-9,-2,47,0
4,7,32,525,,-3,,,
-8,11,36,559,,,43,20,0
-1,27,27,526,,-3,31,18,0
-8,14,36,442,,-12,5,44,0
-4,16,27,379,,1,19,15,0
5,16,20,315,,-5,-13,30,0
-9,-17,32,259,,-1,-9,24,0
9,-15,16,130,,6,-8,14,0
0,-41,27,1,,-1,-43,31,58
15,-34,22,0,,12,-32,21,162
11,-39,16,0,,5,-45,25,262
4,-55,35,0,,8,-21,46,426
16,-16,13,0,,-1,10,18,435
7,-29,16,0,,-1,10,18,456
8,-22,46,0,,1,16,14,476
8,15,16,0,,-5,-9,55,538
-5,-18,50,0,,6,38,24,566
4,40,15,0,,-4,34,14,525
1,41,3,0,,-6,0,35,447
-6,0,43,0,,-6,22,14,382
-3,28,26,0,,-7,-9,47,336
1,40,5,0,,0,-6,10,277
-8,-21,48,0,,-1,-23,24,153
3,2,8,0,,5,-35,23,24
1,-13,16,0,,2,-42,22,0
1,-36,34,0,,13,-47,25,0
10,-33,19,68,,7,-52,25,0
6,-41,19,174,,9,-31,21,0
8,-56,34,264,,9,-29,25,0
9,-32,16,341,,1,-26,28,0
7,-42,32,391,,8,2,36,0
3,-10,22,430,,0,4,35,0
,,,,,0,4,30,0
,,,,,-1,22,36,0
3,-16,42,473,,-1,32,31,0
0,24,22,528,,-5,8,36,0
-7,7,43,559,,-6,11,37,
-4,14,53,516,,,0,,
-7,25,18,441,,0,9,27,0
-4,9,40,378,,-10,-12,33,0
-5,5,21,321,,3,-7,16,0
-8,-18,32,257,,7,-23,23,0
4,-15,22,122,,-2,-38,23,60
-2,-34,24,0,,16,-38,22,171
14,-36,22,0,,1,-48,28,273
-1,-45,32,0,,13,-35,21,342
6,-33,19,0,,-1,-32,25,408
10,-36,35,0,,10,-10,37,439
-5,-14,19,0,,-5,3,28,488
11,-12,26,0,,-5,-3,40,550
-8,1,41,0,,1,35,24,571
-1,17,27,0,,-10,8,46,511
1,15,35,0,,-4,32,22,441
-15,26,33,0,,-12,1,38,366
-8,23,33,0,,2,2,20,329
-2,18,32,0,,0,1,17,268
-12,7,26,0,,-5,-34,32,126
2,-2,20,0,,9,-19,14,1
-6,-21,31,0,,3,-38,24,0
-7,-17,22,0,,8,-45,30,0
13,-35,22,82,,11,-33,19,0
-4,-37,28,186,,2,-37,29,0
14,-44,20,276,,10,-16,28,0
2,-31,,,,-4,-13,32,0
33,348,,,,-3,-15,49,0
12,-22,22,396,,3,32,15,0
-3,-13,37,440,,-4,17,23,0
2,6,33,488,,-,,,
4,10,30,547,,8,20,47,0
-9,15,36,553,,-4,28,17,0
1,26,26,504,,-11,0,44,0
-2,23,24,420,,0,25,18,0
-11,8,38,360,,2,12,14,0
5,7,19,306,,-8,-26,39,0
-6,-21,30,233,,1,-11,21,0
10,-20,16,88,,4,-34,21,49
-1,-46,28,0,,7,-40,29,150
7,-43,29,0,,8,-37,19,247
10,-41,16,0,,5,-46,28,319
6,-51,37,0,,12,-27,29,386
13,-27,28,0,,0,-23,19,424
1,-31,20,0,,6,-11,45,471
8,-8,43,0,,-1,14,20,538
6,26,10,0,,0,5,47,562
2,9,16,0,,-2,39,16,534
-2,5,51,0,,-6,5,43,473
2,49,9,0,,-1,25,23,390
-6,-8,50,0,,-7,-4,35,333
-6,-8,59,0,,3,-9,20,289
