x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
-38,15,-29,-35,11,24,17,-2
-49,2,-29,-38,-48,3,45,-31
-35,8,-22,-39,4,36,33,21
-40,-6,-18,-37,-19,-18,48,-13
-42,-17,-6,-34,-21,19,58,27
-34,-34,-11,-30,-6,16,49,11
-40,-41,13,-33,-19,-21,71,-2
-31,-46,1,-19,14,-47,47,64
-30,-42,14,-28,-16,,88,4
-32,4,19,,26,373,47,
-31,-41,14,-28,2,-45,47,27
-35,-35,,-14,27,4,,57
-28,-35,40,-20,24,-32,97,34
-37,-42,34,2,33,6,53,74
-27,-33,35,-8,37,-12,89,33
-28,-35,49,3,35,20,72,71
-13,-30,36,7,57,9,75,53
-17,-37,46,12,40,-8,101,67
2,-25,47,28,73,43,39,65
-3,-33,43,22,38,8,96,43
2,-25,49,40,72,50,81,103
15,-21,34,35,54,43,36,50
14,-30,40,45,73,30,76,101
34,-11,35,46,72,60,28,47
32,-10,17,40,48,33,72,99
42,-14,19,48,105,67,23,42
48,4,8,27,56,50,43,83
40,-4,19,43,68,38,30,35
52,11,20,32,89,83,3,25
45,17,8,31,51,61,65,86
43,12,15,28,86,64,-10,12
49,24,10,12,51,97,45,49
42,37,17,24,33,50,10,39
36,36,11,13,84,104,30,27
30,52,11,11,19,94,16,64
17,40,12,20,,61,8,8
,54,9,10,0,100,30,4
32,46,5,15,63,43,-9,57
13,48,7,8,16,96,34,-12
14,42,3,5,63,29,-24,21
16,35,2,16,11,,25,27
12,,1,9,54,372,-8,9
13,34,-2,13,14,26,-35,58
13,10,11,9,-4,64,48,-15
19,26,7,1,60,28,11,
17,12,0,0,20,3,,41
15,21,-1,8,31,73,,-8
13,14,0,3,7,-3,24,-21
11,17,-6,11,41,68,-25,40
6,16,-18,-3,-7,0,27,-33
9,15,-28,4,22,12,-20,34
4,23,-41,-5,7,48,1,-35
6,16,-38,0,4,4,19,30
6,22,-42,-1,16,50,-46,-19
1,13,-39,1,-23,15,10,24
14,9,-40,-4,35,16,-43,-5
5,13,-31,-12,-6,17,7,-23
5,2,-38,-22,-14,-9,-26,0
5,14,-36,-31,38,36,11,-29
-8,13,-36,-30,0,28,-5,18
-19,0,-33,-42,2,-18,17,-38
-15,13,-31,-38,30,32,14,8
-33,-1,-35,-39,-35,-25,23,-36
-37,6,-24,-37,15,20,37,2
-45,12,-33,-28,-45,6,21,11
-,-19,-17,-42,,-2,55,-28
43,-17,-24,-34,-5,28,26,26
-43,-17,-4,-39,-35,28,75,-22
-43,-19,-8,-26,-38,11,38,39
