x DESN 1 ,y DESN 1,z DESN 1,i DESN 1,x DESN 2,y DESN 2,z DESN 2,i DESN 2,xDESN 3,y DESN 3,z DESN 3,i DESN 3
-3,36,-17,201,0,7,22,0,-7,-60,65,0
-3,-62,72,280,-10,-22,31,0,-2,37,0,0
-3,37,-16,346,0,-7,30,0,-8,25,-10,0
-3,-62,67,367,-1,24,-6,0,1,-50,71,10
-2,33,-8,376,-6,-44,62,0,-8,35,-15,86
-4,16,-8,374,-2,-14,41,0,0,-60,73,125
0,-47,69,369,-5,-1,13,0,-5,37,-13,195
-4,29,-22,355,-2,-23,47,0,-4,-57,66,274
0,-59,78,288,0,19,0,1,-3,30,-6,334
-5,42,-23,200,-6,-40,54,70,-7,0,8,362
0,-63,75,134,-1,15,8,115,1,-30,51,376
-7,41,-16,48,-4,12,-2,171,-7,11,0,3
0,-61,65,0,-4,-38,62,248,75,,,
0,-29,54,0,-1,18,-10,327,0,-36,57,374
-5,12,-3,0,-4,-50,69,365,-1,16,9,368
-2,,,,-2,28,-15,377,-7,-37,43,321
,-50,55,0,-3,-57,65,379,0,9,16,258
-4,21,8,0,-3,36,-8,372,-6,-26,37,181
-2,-41,40,0,-2,-59,55,366,0,3,23,124
1,-51,65,0,-4,29,7,312,-2,23,-9,43
-5,28,-13,0,-4,-44,38,225,-3,-46,66,0
1,-53,65,0,-4,14,27,160,-1,22,-12,0
0,-6,40,0,-3,48,-29,72,-4,-17,17,0
-6,-5,10,0,,,,,0,-8,44,0
0,-57,59,0,0,-73,84,3,-4,-10,5,0
-5,31,0,0,-5,51,-25,0,-4,-53,59,0
-8,18,-7,0,0,-77,72,0,-1,28,0,0
2,-45,66,0,0,-36,71,0,-1,8,-9,0
-3,19,15,0,-4,27,-22,0,0,-45,66,0
-6,-29,36,0,3,-66,83,0,0,21,19,0
-2,0,32,37,-7,27,16,0,-7,-31,24,0
-8,38,-16,103,-4,-40,22,0,2,-11,40,0
0,-59,67,147,3,-86,82,0,-2,44,-15,0
-8,36,-6,214,-6,66,-24,0,-3,-64,66,0
-1,-51,56,294,0,-81,74,0,-3,41,-3,0
-7,24,5,349,2,-47,70,0,-7,29,-16,0
-6,-43,42,370,-7,39,-27,0,3,-60,79,0
-4,13,19,379,3,-70,85,0,-2,21,15,68
-7,-25,29,375,-4,21,18,0,-6,-32,26,116
-2,-2,34,373,-6,-24,27,0,-1,-2,41,173
-10,32,-9,344,2,-74,86,0,-7,-5,4,243
